batch,send_window_pt,id,client,owner,phone,location,timezone,service,est_value,source,score,channel_plan,attempt_today,outcome,response_time,next_step,next_touch_due
B1,10:00-11:15 PT,nosite-037,Regal Roofing & Contracting,,+12067842689,"Seattle, WA 98113",America/Los_Angeles,Roofing/Contractor,1500.0,Yelp-Unclaimed,175,SMS-first + call follow-up (priority high),1,,,,
B1,10:00-11:15 PT,nosite-068,Quality Construction & Roofing,,+18322826486,"Houston, TX 77041",America/Chicago,General Contractor/Roofing,1500.0,Yelp-Unclaimed,163,SMS-first + call follow-up (priority high),1,,,,
B1,10:00-11:15 PT,nosite-109,San Diego Heating and Cooling,,+16194432665,"El Cajon, CA 92021",America/Los_Angeles,HVAC,900.0,Yelp-Unclaimed,145.0,SMS-first + call follow-up (priority high),1,,,,
B1,10:00-11:15 PT,nosite-001,Perez Landscaping,,+12066029766,"Seattle, WA 98188",America/Los_Angeles,Landscaping,800.0,Yelp-Unclaimed,100.0,SMS-first + call follow-up (priority high),1,,,,
B1,10:00-11:15 PT,nosite-002,Ligaya Landscaping,,+12063517402,"Seattle, WA 98101",America/Los_Angeles,Landscaping,800.0,Yelp-Unclaimed,100.0,SMS-first + call follow-up (priority high),1,,,,
B1,10:00-11:15 PT,nosite-003,Greenscapes Landscaping,,+12068028186,"Seattle, WA 98146",America/Los_Angeles,Landscaping,800.0,Yelp-Unclaimed,100.0,SMS-first + call follow-up (priority high),1,,,,
B1,10:00-11:15 PT,nosite-049,Valle Landscaping,,+14808069550,"Phoenix, AZ",America/Phoenix,Landscaping,800.0,Yelp-Unclaimed,100.0,SMS-first + call follow-up (priority high),1,,,,
B1,10:00-11:15 PT,nosite-050,Valley Landscaping,,+16234864922,"Phoenix, AZ 85003",America/Phoenix,Landscaping,800.0,Yelp-Unclaimed,100.0,SMS-first + call follow-up (priority high),1,,,,
B1,10:00-11:15 PT,nosite-052,CC Landscaping,,+16233249775,"Phoenix, AZ 85036",America/Phoenix,Landscaping,800.0,Yelp-Unclaimed,100.0,SMS-first + call follow-up (priority high),1,,,,
B1,10:00-11:15 PT,nosite-053,RB Landscaping Service,,+14805408509,"Phoenix, AZ",America/Phoenix,Landscaping,800.0,Yelp-Unclaimed,100.0,SMS-first + call follow-up (priority high),1,,,,
B1,10:00-11:15 PT,nosite-101,Cedar Fencing Plus,,+15032446216,"Portland, OR 97201",America/Los_Angeles,Fencing,800.0,Yelp-Unclaimed,100.0,SMS-first + call follow-up (priority high),1,,,,
B1,10:00-11:15 PT,nosite-102,Austin's Custom Fencing,,+15037626010,"Portland, OR 97201",America/Los_Angeles,Fencing,800.0,Yelp-Unclaimed,100.0,SMS-first + call follow-up (priority high),1,,,,
B2,12:45-14:00 PT,nosite-115,Ace Fencing,,+17025688330,"Las Vegas, NV 89101",America/Los_Angeles,Fencing,800.0,Yelp-Unclaimed,100.0,Call-first for no-answer SMS fallback,1,,,,
B2,12:45-14:00 PT,nosite-061,JV Pool Services,,+12149294278,"Dallas, TX 75228",America/Chicago,Pool & Hot Tub Service,700.0,Yelp-Unclaimed,78.0,Call-first for no-answer SMS fallback,1,,,,
B2,12:45-14:00 PT,nosite-116,Bachman Lawn Care,,+18165508823,"Kansas City, MO 64155",America/Chicago,Landscaping/Lawn Care,700.0,Yelp-Unclaimed,78.0,Call-first for no-answer SMS fallback,1,,,,
B2,12:45-14:00 PT,wave3-006,Garrico Plumbing,,+19199108013,,America/New_York,Plumbing,350.0,Yelp-Unclaimed,78.0,Call-first for no-answer SMS fallback,1,,,,
B2,12:45-14:00 PT,wave3-007,Dazco Plumbing,,+19197878256,,America/New_York,Plumbing,350.0,Yelp-Unclaimed,78.0,Call-first for no-answer SMS fallback,1,,,,
B2,12:45-14:00 PT,wave3-010,Garman Plumbing,,+19198319898,,America/New_York,Plumbing,350.0,Yelp-Unclaimed,78.0,Call-first for no-answer SMS fallback,1,,,,
B2,12:45-14:00 PT,wave3-180,Stat Plumbing,,+16142537828,,America/New_York,Plumbing,350.0,Yelp-Unclaimed,78.0,Call-first for no-answer SMS fallback,1,,,,
B2,12:45-14:00 PT,nosite-079,New Image Mobile Auto Detailing & Fueling,,+14043419569,"Atlanta, GA",America/New_York,Auto Detailing,600.0,Yelp-Unclaimed,68.0,Call-first for no-answer SMS fallback,1,,,,
B2,12:45-14:00 PT,nosite-084,American Termite & Pest Elimination,,+14048745250,"Atlanta, GA 30303",America/New_York,Pest Control,550.0,Yelp-Unclaimed,63.0,Call-first for no-answer SMS fallback,1,,,,
B2,12:45-14:00 PT,nosite-085,Bug Free Exterminating,,+17709202288,"Atlanta, GA 30303",America/New_York,Pest Control,550.0,Yelp-Unclaimed,63.0,Call-first for no-answer SMS fallback,1,,,,
B2,12:45-14:00 PT,nosite-086,CRC Services Termite & Pest Control,,+17709737103,"Atlanta, GA 30303",America/New_York,Pest Control,550.0,Yelp-Unclaimed,63.0,Call-first for no-answer SMS fallback,1,,,,
B2,12:45-14:00 PT,wave3-016,New Mexico Flooring Specialist,,+15054014695,,America/Denver,Flooring,400.0,Yelp-Unclaimed,60.0,Call-first for no-answer SMS fallback,1,,,,
B3,15:30-17:00 PT,wave3-023,Sernas Flooring & Tile,,+15054807659,,America/Denver,Flooring,400.0,Yelp-Unclaimed,60.0,Last-touch same-day + follow-up scheduling,1,,,,
B3,15:30-17:00 PT,wave3-047,Electrical Solutions,,+14057940200,,America/Chicago,Electrical,400.0,Yelp-Unclaimed,48.0,Last-touch same-day + follow-up scheduling,1,,,,
B3,15:30-17:00 PT,wave3-048,Metro Electrical Contractors,,+14052322535,,America/Chicago,Electrical,400.0,Yelp-Unclaimed,48.0,Last-touch same-day + follow-up scheduling,1,,,,
