queue_order,priority_tier,batch,lead_id,client,service,estimated_value,location,phone,timezone_local,send_window_pt_start,send_window_pt_end,channel_plan,touch_1,touch_2,touch_3,status,owner,response_status,response_time_pt,next_action,next_action_due_pt,notes
1,P1,A,auto-003,McCaw Property Management,Excel Automation,2000,"Keller, TX",(817) 491-2553,CT,09:40,11:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
2,P1,A,auto-004,Specialized Property Management Fort Worth,Excel Automation,2000,"Fort Worth, TX",(817) 886-9220,CT,09:40,11:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
3,P1,A,auto-009,Jaxon Texas Property Management,Excel Automation,1500,"El Paso, TX",(915) 503-2308,CT,09:40,11:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
4,P1,A,nosite-037,Regal Roofing & Contracting,Roofing/Contractor,1500,"Seattle, WA 98113",(206) 784-2689,PT,11:40,13:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
5,P1,A,nosite-068,Quality Construction & Roofing,General Contractor/Roofing,1500,"Houston, TX 77041",(832) 282-6486,CT,09:40,11:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
6,P1,A,wa-google-002,PMC General Contractor,General Contractor,1200,"Bellevue, WA 98005",(425) 869-4000,PT,11:40,13:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
7,P1,A,wa-google-005,Environment West Landscape Services,Landscaping,1000,"Spokane, WA 99217",(509) 921-5555,PT,11:40,13:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
8,P1,A,sprint26-029,Spokane Landscaping & Maintenance,Crew Scheduling + Job Costing Automation,1000,", ",(509) 922-3660,PT,11:40,13:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
9,P1,A,auto-005,CentsIQ Bookkeeping,Excel Automation,1000,"Seattle, WA",(425) 465-8239,PT,11:40,13:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
10,P1,A,sprint26-028,Freedom Garage Door Services,Service Ops Spreadsheet System,950,", ",(253) 495-8488,PT,11:40,13:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
11,P1,A,sprint26-027,Garage Door Repair Tacoma,Lead Intake + Dispatch Dashboard,900,", ",(253) 218-6529,PT,11:40,13:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
