queue_id,priority_batch,send_window_pt,lead_id,company,service,location,phone,estimated_value,channel_primary,channel_secondary,template_id,attempt_no,status,last_outcome,next_action,next_action_at_pt,response_summary,owner,response_received_at_pt,response_channel,reply_sentiment,meeting_booked_at_pt,do_not_contact,touch_count_today,last_updated_pt
Q-20260305-001,P1,09:35-09:41,auto-003,McCaw Property Management,Excel Automation,"Keller, TX",(817) 491-2553,2000,call,sms,CALL_OPENER_V1,1,queued,,retry_call,16:10,,john,,,,,false,1,
Q-20260305-002,P1,09:41-09:47,auto-004,Specialized Property Management Fort Worth,Excel Automation,"Fort Worth, TX",(817) 886-9220,2000,call,sms,CALL_OPENER_V1,1,queued,,retry_call,16:10,,john,,,,,false,1,
Q-20260305-003,P1,09:47-09:53,nosite-037,Regal Roofing & Contracting,Roofing/Contractor,"Seattle, WA",(206) 784-2689,1500,call,sms,CALL_OPENER_V1,1,queued,,send_sms,09:56,,john,,,,,false,1,
Q-20260305-004,P1,09:53-09:59,nosite-068,Quality Construction & Roofing,General Contractor/Roofing,"Houston, TX",(832) 282-6486,1500,call,sms,CALL_OPENER_V1,1,queued,,send_sms,10:02,,john,,,,,false,1,
Q-20260305-005,P1,09:59-10:05,auto-009,Jaxon Texas Property Management,Excel Automation,"El Paso, TX",(915) 503-2308,1500,call,sms,CALL_OPENER_V1,1,queued,,send_sms,10:08,,john,,,,,false,1,
Q-20260305-006,P1,10:05-10:11,wa-google-002,PMC General Contractor,General Contractor,"Bellevue, WA",(425) 869-4000,1200,call,sms,CALL_OPENER_V1,1,queued,,send_sms,10:14,,john,,,,,false,1,
Q-20260305-007,P1,10:11-10:17,wa-google-005,Environment West Landscape Services,Landscaping,"Spokane, WA",(509) 921-5555,1000,call,sms,CALL_OPENER_V1,1,queued,,send_sms,10:20,,john,,,,,false,1,
Q-20260305-008,P1,10:17-10:23,sprint26-029,Spokane Landscaping & Maintenance,Crew Scheduling + Job Costing Automation,Spokane WA,(509) 922-3660,1000,call,sms,CALL_OPENER_V1,1,queued,,send_sms,10:26,,john,,,,,false,1,
Q-20260305-009,P1,10:23-10:29,auto-005,CentsIQ Bookkeeping,Excel Automation,"Seattle, WA",(425) 465-8239,1000,call,sms,CALL_OPENER_V1,1,queued,,send_sms,10:32,,john,,,,,false,1,
Q-20260305-010,P1,10:29-10:35,sprint26-028,Freedom Garage Door Services,Service Ops Spreadsheet System,WA,(253) 495-8488,950,call,sms,CALL_OPENER_V1,1,queued,,send_sms,10:38,,john,,,,,false,1,
Q-20260305-011,P2,10:35-10:41,nosite-109,San Diego Heating and Cooling,HVAC,"El Cajon, CA",(619) 443-2665,900,call,sms,CALL_OPENER_V1,1,queued,,send_sms,10:44,,john,,,,,false,1,
Q-20260305-012,P2,10:41-10:47,sprint11-025,Dallas Tax and Books,Tax/bookkeeping reporting automation,"Dallas, TX",(214) 353-0654,900,call,sms,CALL_OPENER_V1,1,queued,,send_sms,10:50,,john,,,,,false,1,
Q-20260305-013,P2,10:47-10:53,sprint26-027,Garage Door Repair Tacoma,Lead Intake + Dispatch Dashboard,Tacoma WA,(253) 218-6529,900,call,sms,CALL_OPENER_V1,1,queued,,send_sms,10:56,,john,,,,,false,1,
Q-20260305-014,P2,10:53-10:59,sprint26-030,"Accurate Accounting Company, Inc.",Bookkeeping Workflow Standardization,WA,206-335-8864,850,call,sms,CALL_OPENER_V1,1,queued,,send_sms,11:02,,john,,,,,false,1,
Q-20260305-015,P2,10:59-11:05,wa-google-001,PNW Landscaping & Services,Landscaping,"Seattle, WA",(206) 922-9440,800,call,sms,CALL_OPENER_V1,1,queued,,send_sms,11:08,,john,,,,,false,1,
Q-20260305-016,P2,11:05-11:11,nosite-001,Perez Landscaping,Landscaping,"Seattle, WA",(206) 602-9766,800,call,sms,CALL_OPENER_V1,1,queued,,send_sms,11:14,,john,,,,,false,1,
Q-20260305-017,P2,11:11-11:17,nosite-004,Northwest Landscape and Patio Bellevue,Landscaping,"Bellevue, WA",(425) 390-4959,800,call,sms,CALL_OPENER_V1,1,queued,,send_sms,11:20,,john,,,,,false,1,
Q-20260305-018,P2,11:17-11:23,nosite-003,Greenscapes Landscaping,Landscaping,"Seattle, WA",(206) 802-8186,800,call,sms,CALL_OPENER_V1,1,queued,,send_sms,11:26,,john,,,,,false,1,
Q-20260305-019,P2,11:23-11:29,nosite-002,Ligaya Landscaping,Landscaping,"Seattle, WA",(206) 351-7402,800,call,sms,CALL_OPENER_V1,1,queued,,retry_call,16:10,,john,,,,,false,1,
Q-20260305-020,P2,11:29-11:35,nosite-005,Envision Landscaping,Landscaping,"Bellevue, WA",(206) 679-8525,800,call,sms,CALL_OPENER_V1,1,queued,,retry_call,16:10,,john,,,,,false,1,
Q-20260305-021,P3,13:30-13:38,nosite-052,CC Landscaping,Landscaping,"Phoenix, AZ",(623) 324-9775,800,call,sms,SMS_VALUE_V2,1,queued,,send_sms,13:41,,john,,,,,false,1,
Q-20260305-022,P3,13:38-13:46,nosite-033,A A Landscaping,Landscaping,"Bothell, WA",(206) 251-8199,800,call,sms,SMS_VALUE_V2,1,queued,,send_sms,13:49,,john,,,,,false,1,
Q-20260305-023,P3,13:46-13:54,nosite-053,RB Landscaping Service,Landscaping,"Phoenix, AZ",(480) 540-8509,800,call,sms,SMS_VALUE_V2,1,queued,,send_sms,13:57,,john,,,,,false,1,
Q-20260305-024,P3,13:54-14:02,nosite-050,Valley Landscaping,Landscaping,"Phoenix, AZ",(623) 486-4922,800,call,sms,SMS_VALUE_V2,1,queued,,send_sms,14:05,,john,,,,,false,1,
Q-20260305-025,P3,14:02-14:10,nosite-049,Valle Landscaping,Landscaping,"Phoenix, AZ",(480) 806-9550,800,call,sms,SMS_VALUE_V2,1,queued,,send_sms,14:13,,john,,,,,false,1,
Q-20260305-026,P3,14:10-14:18,lead_auto_003,Protocol Property Management,Excel Automation - Rent Roll,"Bellevue, WA",(425) 467-1436,800,call,sms,CALL_OPENER_V1,1,queued,,send_sms,14:21,,john,,,,,false,1,
Q-20260305-027,P3,14:18-14:26,wa-google-006,Keith's Lawn & Landscape,Landscaping,"Spokane, WA",(509) 466-5938,750,call,sms,SMS_VALUE_V2,1,queued,,send_sms,14:29,,john,,,,,false,1,
Q-20260305-028,P3,14:26-14:34,wa-google-003,Joc's Landscaping,Landscaping/Lawn Care,"Everett, WA",(425) 791-1800,750,call,sms,SMS_VALUE_V2,1,queued,,send_sms,14:37,,john,,,,,false,1,
Q-20260305-029,P4,16:00-16:10,sprint26-025,Seattle Mobile Detailing,Job Tracking + CRM Spreadsheet Automation,Seattle WA,(206) 922-7372,750,sms,call,SMS_NA_V1,1,queued,,retry_call,16:40,,john,,,,,false,1,
Q-20260305-030,P4,16:10-16:20,wa-google-007,The Honest Handyman & Hauling LLC,Handyman,"Vancouver, WA",(503) 765-2489,700,sms,call,SMS_NA_V1,1,queued,,retry_call,16:40,,john,,,,,false,1,
Q-20260305-031,P4,16:20-16:30,nosite-061,JV Pool Services,Pool & Hot Tub Service,"Dallas, TX",(214) 929-4278,700,dm,call,DM_SHORT_V1,1,queued,,send_dm,16:35,,john,,,,,false,1,
Q-20260305-032,P4,16:30-16:40,wave4-044,Millennium Plumbing Specialist,Plumbing,"Sacramento, CA",(916) 883-3337,700,dm,call,DM_SHORT_V1,1,queued,,send_dm,16:45,,john,,,,,false,1,
